Date Accessed: [2025-07-12] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments/confession/686ab7e90002c903bfc6/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/likes | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/3 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/4 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/mistral/refineConfession | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/mistral/refineConfession | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/mistral/refineConfession | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/mistral/generateTags | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/mistral/refineConfession | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/mistral/generateTags | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/3 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/4 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/likes | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/top | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/6864d27d000bda910d84 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments/confession/6864d27d000bda910d84/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments/confession/6864d27d000bda910d84/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/child-comments/comment/6872ab73001b86bfeb59/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/mistral/generateComment | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/child-comments | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/child-comments/comment/6872ab73001b86bfeb59/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments/confession/6864d27d000bda910d84/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments/confession/6864d27d000bda910d84/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/likes | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/mistral/generateComment | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/child-comments/comment/68660d860016dca4f0aa/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/mistral/generateComment | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/mistral/generateComment | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/mistral/generateComment | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/child-comments | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/child-comments/comment/68660d860016dca4f0aa/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments/confession/6864d27d000bda910d84/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments/confession/6864d27d000bda910d84/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/likes | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/child-comments/comment/68660d860016dca4f0aa/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/child-comments/comment/68660d860016dca4f0aa/pagination/3 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/likes | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/likes | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/likes | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/likes | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/child-comments/comment/68660d860016dca4f0aa/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/child-comments/comment/68660d860016dca4f0aa/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/child-comments/comment/68660d860016dca4f0aa/pagination/3 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/likes | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/mistral/generateComment | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments | Method: POST | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments/confession/6864d27d000bda910d84/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/6864d27d000bda910d84 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments/confession/6864d27d000bda910d84/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/3 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/4 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/comments/confession/686668ba0025738abe7d/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: undefined | Route: /api/confessions/686668ba0025738abe7d | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/3 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/4 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/3 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/3 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/4 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/3 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/4 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/3 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/4 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query/Ice/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query/1/Ice | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query/1/Ice | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query/1/Ice | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query/1/Ice | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query/1/Ice | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query/1/Ice | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query/1/Ice | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query/1/Ice | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query/1/Ice | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query/1/ateneo | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query/1/ateneo | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query/1/icy | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query/icy/page/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query/icy/page/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query//page/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/users | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query//page/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query//page/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query//page/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query//page/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/users | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query//page/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query//page/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query//page/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query//page/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/users | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/3 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/4 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query//page/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query//page/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query//page/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query/icy/page/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/3 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/4 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query//page/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/users | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query//page/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/query//page/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/users | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/2 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/1 | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/users | Method: GET | Status Code: 200 
Date Accessed: [2025-07-13] | API Key Used: b41b4**** | IP Address: ::1 | Route: /api/confessions/pagination/1 | Method: GET | Status Code: 200 
